es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2015-07-28T00:00:00Z,20150728,-420.18608223,294.71,39.68356378703673,42.50830358168965,45.11910936788862,15.26400859336916,34.98621890554429
2015-07-29T00:00:00Z,20150729,52.94975491,290.8033333333333,47.66653102761461,48.21430311949824,48.79089251494585,25.28810929093738,29.716486603669637
2015-07-30T00:00:00Z,20150730,240.53439755,286.87,50.766665997575124,50.409575399633276,50.20605741034186,24.0224667107953,21.524861531700576
2015-08-01T00:00:00Z,20150801,842.1457917700001,280.1542857142857,59.90713001186292,56.988231227315126,54.52442888374507,50.766883061108196,33.35915302094692
2015-08-02T00:00:00Z,20150802,448.04086427,279.995,52.27754005265324,51.91291518367338,51.39596229483134,59.13748776710238,44.642279179668584
2015-08-03T00:00:00Z,20150803,25.17574685,282.2233333333333,44.912703336247176,46.87383866521722,48.215568431184,54.57478794339309,54.826386257201186
2015-08-05T00:00:00Z,20150805,0.013062700000000002,282.27,44.46539551701033,46.57121649217588,48.026095352363,38.92621607964136,50.87949726337891
2015-08-06T00:00:00Z,20150806,1155.56232943,278.70666666666665,64.14451437041532,59.93476839426576,56.44723186523114,53.8648440094123,49.12194934414888
2015-08-07T00:00:00Z,20150807,75.34259523,278.88,45.89918143455212,47.45276480348483,48.56583672362311,54.91157618994854,49.2342120930007
2015-08-08T00:00:00Z,20150808,50.53836911,271.17749999999995,45.54223631811005,47.19884129736217,48.39958014269513,45.2732003971275,51.349873532162746
2015-08-09T00:00:00Z,20150809,97196.29820255001,263.1862962962962,98.54968940450067,97.8516195291284,96.64171783312891,45.2732003971275,48.485992328067816
2015-08-10T00:00:00Z,20150810,38217.0607909,264.44750000000005,57.660302399668986,59.1169603420505,60.094906088474474,47.89728638609048,46.1478957267818
2015-08-11T00:00:00Z,20150811,450.0354293,264.48249999999996,43.72101801103639,45.99947128674759,47.71501621915648,46.594152248776545,46.58821301066481
2015-08-12T00:00:00Z,20150812,931.8220541899999,267.43,43.9285231055123,46.17088687807864,47.861820987448134,13.580381537323696,36.023940057396864
2015-08-13T00:00:00Z,20150813,983.85096915,264.0559999999999,43.955301734716066,46.19163814573203,47.87875388293167,0.8113030455626419,20.32861227722092
2015-08-14T00:00:00Z,20150814,25.10060108,262.31,43.49595855402066,45.825413893549424,47.573707161300575,0.6569684891364406,5.016217690674218
2015-08-15T00:00:00Z,20150815,50.27413605,264.82,43.51455724816512,45.838098261317874,47.58310215996972,0.346041325632986,0.6047709534439815
2015-08-16T00:00:00Z,20150816,-194.55519192,257.07,43.348034781576686,45.720970344272466,47.494412589165385,0.008635458377046637,0.33721509104878317
2015-08-17T00:00:00Z,20150817,429.19073602,257.6,44.00316446911186,46.11560357841202,47.760196594025864,0.22212091626824845,0.19226590009271913
